symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl_dollars,return_pct,exit_reason,days_held
TTWO,2025-02-10,210.01,2026-02-02,225.51,100,1550.0,7.38,ema220_break,357
EXC,2025-03-03,44.05,2025-12-05,44.13,415,33.2,0.18,ema220_break,277
FER,2025-03-04,44.85,2025-12-05,44.13,400,-288.0,-1.61,ema220_break,276
AEP,2025-04-01,108.61,2025-05-15,99.37,165,-1524.6,-8.51,ema220_break,44
CCEP,2025-04-23,90.47,2025-11-04,86.87,201,-723.6,-3.98,ema220_break,195
MELI,2025-04-30,2230.0,2025-10-02,2201.6499,8,-226.8,-1.27,ema220_break,155
PANW,2025-10-03,210.1,2025-11-21,185.01,110,-2759.9,-11.94,ema220_break,49
CRWD,2025-10-24,528.8,2026-01-05,458.63,43,-3017.31,-13.27,ema220_break,73
AMZN,2025-11-04,250.38,2026-02-06,202.7,95,-4529.6,-19.04,ema220_break,94
HON,2026-02-09,237.4,2026-04-24,212.81,88,-2163.92,-10.36,ema220_break,74
MCHP,2026-02-12,81.81,2026-03-06,65.72,262,-4215.58,-19.67,stop_loss,22
CCEP,2026-02-18,103.99,2026-03-23,94.09,205,-2029.5,-9.52,ema220_break,33
